redirect_from_path,redirect_to_path
/2012/11/09/post-capitalism-envisioned-cynthia-kaufman-wilson-riles/,/news
/2013/11/11/video-of-dsa-event-october-25-2013-humanist-hall-oakland-ca/,/news
/2016/04/​21/labor-for-bernie/,/campaigns
/2016/05/11/monthly-meeting-11/,/events
/2016/07/21/dsa-and-surj,/news
/2016/10/,/news
/2016/11/11/monthly-meeting-16/,/events
/2016/11/14/upcoming-events,/events
/bylaws,/resources/bylaws
/calendar,/events
/candidate_statements_for_1_14_election,/news/2017/01/10/election-candidate-statements
/category/events,/events
/coordinating_committee_minutes_11_23_2016,/resources/minutes/coordinating-committee-meeting-2016-11-23
/coordinating_committee_minutes_12_19_2016,/resources/minutes/coordinating-committee-meeting-2016-12-19
/coordinating_committee_minutes_1_9_2017,/resources/minutes/coordinating-committee-meeting-2017-01-09
/east-bay-dsa-at-sfo-protests,/news/2017/02/06/sfo-protests
/east_bay_dsa_commitment_to_ending_racism_and_capitalism,/news/2017/04/05/statement-commitment-ending-racism-capitalism
/east-bay-dsa-commitment-to-ending-racism-and-capitalism,/news/2017/04/05/statement-commitment-ending-racism-capitalism
/ebdsa_gears_up_for_big_single_payer_kickoff,/news/2017/02/13/single-payer-kickoff
/eb_dsa_on_jacobin_panel,/news/2017/02/05/jacobin-panel
/ebdsa_s_commitment_to_ending_racism_and_capitalism,/news/2017/04/05/statement-commitment-ending-racism-capitalism
/excom_committee_meeting_2_12_2017,/resources/minutes/executive-committee-meeting-2017-02-12
/excomm-meeting-4-9-2017,/resources/minutes/executive-committee-meeting-2017-04-09
/excomm_meeting_notes_3_12_2017,/resources/minutes/executive-committee-meeting-2017-03-12
/executive_committee_minutes_1_29_2017,/resources/minutes/executive-committee-meeting-2017-01-29
/general_meeting_4_23_2017,/resources/minutes/general-meeting-2017-04-23
/general_meeting_minutes_11_12_2016,/resources/minutes/general-meeting-2016-11-12
/general_meeting_minutes_11_19_2016,/resources/minutes/general-meeting-2016-11-19
/healthcare,/campaigns/healthcare
/january-14-elections,/news/2017/01/02/elections
/join_the_fight_for_fair_housing,/news/2017/01/23/join-fight-fair-housing
/meeting_notes,/resources/minutes
/meeting-notes,/resources/minutes
/meeting-notes/2016/11/29/111216-general-meeting-minutes,/resources/minutes/general-meeting-2016-11-12
/meeting-notes/2016/11/29/111916-general-meeting-minutes,/resources/minutes/general-meeting-2016-11-19
/meeting-notes/2017/1/9/112316-coordinating-committee-minutes,/resources/minutes/coordinating-committee-meeting-2016-11-23
/meeting-notes/2017/1/9/121916-coordinating-committee,/resources/minutes/coordinating-committee-meeting-2016-12-19
/meeting-notes/2017/1/9/1517-coordinating-committee,/resources/minutes
/meeting-notes/2017/3/16/212-executive-committee-minutes,/resources/minutes/executive-committee-meeting-2017-03-12
/new-events,/events
/new-events/2016/11/27/membership-recruitment-outreach-committee-meeting,/join
/new-events/2016/12/10/new-member-meeting,/events
/new-events/2016/12/10/new-member-meeting?format=ical,/events
/new-events/2016/12/12/the-abcs-of-socialism-study-group,/events
/new-events/2016/12/12/the-abcs-of-socialism-study-group?format=ical,/events
/new-events/2016/12/17/recruitment-outreach-committee-meeting,/events
/new-events/2016/12/18/events-committee-meeting,/events
/new-events/2016/12/18/kfpa-presents-refinery-town-big-oil-big-money-the-remaking-of-an-american-city,/events
/new-events/2016/12/2/bernie-sanders-on-our-revolution,/events
/new-events/2016/12/2/first-friday,/events
/new-events/2016/12/9/punk-rock-karaoke-benefit-for-planned-parenthood,/events
/new-events/2017/1/17/the-future-of-work-wages-and-labor-town-hall,/events
/new-events/2017/1/21/dsa-the-oakland-womens-march,/events
/new-events/2017/1/22/dsa-east-bay-new-member-meeting,/events
/new-events/2017/1/22/now-is-the-time-the-single-payer-documentary,/events
/new-events/2017/1/22/now-is-the-time-the-single-payer-documentary?format=ical,/events
/new-events/2017/1/29/executive-committee-meeting,/events
/new-events/2017/2/14/beer-and-roses-east-bay-dsas-anti-valentines-day-party,/events
/new-events/2017/2/25/single-payer-healthcare-campaign-kickoff,/events
/new-events/2017/2/26/ebdsas-first-bylaws-committee-meeting,/events
/new-events/2017/2/4/east-bay-dsa-study-series-democratic-socialist-theory-strategy-session-1,/events
/new-events/2017/2/9/east-bay-dsa-study-series-democratic-socialist-theory-strategy-session-2,/events
/new-events/2017/3/14/bylaws-working-group-meeting,/events
/new-events/2017/3/17/how-socialism-can-beat-white-supremacy,/events
/new-events/2017/3/18/longtime-member-meeting,/events
/new-events/2017/3/22/socialist-feminist-working-group,/events
/ new-events/2017/3/22/socialist-feminist-working-group?format=ical,/events
/new-events/2017/3/26/ebdsa-picnic,/events
/new-events/2017/3/27/living-the-indebted-life-conference-on-student-debt,/events
/new-event​s/2017/3/3/east-bay-dsa-at-first-fr​iday,/events
/new-events/2017/3/3/east-bay-dsa-at-first-friday,/events
/new-events/2017/3/4/new-member-meeting,/events
/new-events/2017/3/5/single-payer-documentary-screening-now-is-the-time,/events
/new-events/2017/3/8/day-without-a-woman-actions,/events
/new-events?view=calendar&month=March-2017,/events
/new-page,/
/news/2016/11/27/upcoming-events,/news/2016/11/27/upcoming-events
/news/2017/1/10/candidate-statements-for-114-election,/news/2017/01/10/election-candidate-statements
/news/2017/1/23/join-the-fight-for-fair-housing,/news/2017/01/23/join-fight-fair-housing
/news/2017/1/9/the-abcs-of-socialism,/news/2016/12/31/abcs-socialism
/news/2017/2/13/ebdsa-gears-up-for-big-single-payer-kickoff,/news/2017/02/13/single-payer-kickoff
/news/2017/2/28/single-payer-campaign-kickoff-building-power-to-win-big,/news/2017/02/28/single-payer-campaign-kickoff
/news/2017/2/5/eb-dsa-speaks-at-jacobin-panel,/news/2017/02/05/jacobin-panel
/news/2017​/2/5/eb-dsa-speaks-at-jacobin-panel,/news/2017/02/05/jacobin-panel
/news/2017/3/15/ebdsas-commitment-to-ending-racism-and-capitalism,/news/2017/03/15/commitment-ending-racism-capitalism
/news/2017/3/2/vice-chair-molly-armstrong-tells-her-dsa-story,/news/2017/03/02/vice-chair-molly-armstrong-tells-dsa-story
